trade_id,ticker,side,quantity,price,trade_date,settle_date
T0001,MSFT,BUY,150,283.77,2026-08-04,2026-08-06
T0002,NVDA,BUY,150,679.57,2026-08-07,2026-08-09
T0003,MSFT,SELL,10,75.33,2026-08-04,2026-08-06
T0004,AMZN,BUY,100,219.01,2026-08-07,2026-08-09
T0005,TSLA,BUY,65,550.88,2026-08-03,2026-08-05
T0006,NVDA,SELL,50,286.19,2026-08-04,2026-08-06
T0007,META,BUY,10,372.94,2026-08-05,2026-08-07
T0008,META,SELL,200,86.93,2026-08-06,2026-08-08
T0009,MU,BUY,75,116.98,2026-08-05,2026-08-07
T0010,SPY,SELL,100,213.45,2026-08-04,2026-08-05
T0011,AAPL,BUY,200,295.98,2026-08-04,2026-08-05
T0012,AMZN,BUY,75,286.28,2026-08-05,2026-08-07
T0013,NVDA,SELL,50,228.08,2026-08-06,2026-08-07
T0014,MSFT,BUY,100,669.76,2026-08-04,2026-08-06
T0015,IONQ,SELL,50,891.09,2026-08-07,2026-08-09
T0016,AMZN,SELL,190,703.07,2026-08-03,2026-08-05
T0017,AMZN,BUY,200,316.64,2026-08-05,2026-08-07
T0018,MSFT,BUY,100,794.91,2026-08-05,2026-08-07
T0019,AMZN,SELL,75,801.98,2026-08-06,2026-08-08
T0020,NVDA,SELL,25,259.63,2026-08-07,2026-08-09
T0021,MU,SELL,150,546.9,2026-08-07,2026-08-09
T0022,TSLA,SELL,25,897.73,2026-08-04,2026-08-06
T0024,NVDA,BUY,205,628.41,2026-08-07,2026-08-09
T0025,MSFT,SELL,75,556.51,2026-08-06,2026-08-08
T0027,MSFT,SELL,200,594.82,2026-08-03,2026-08-05
T0028,GOOGL,SELL,25,435.67,2026-08-05,2026-08-07
T0030,MU,BUY,25,367.83,2026-08-04,2026-08-06
T0031,MU,BUY,100,325.53,2026-08-03,2026-08-05
T0032,MSFT,SELL,200,735.76,2026-08-04,2026-08-06
T0033,AAPL,BUY,100,854.91,2026-08-03,2026-08-05
T0034,IONQ,BUY,200,502.8,2026-08-04,2026-08-06
T0035,NVDA,SELL,100,190.36,2026-08-07,2026-08-09
T0036,SPY,SELL,25,839.58,2026-08-04,2026-08-06
T0037,GOOGL,SELL,150,602.4,2026-08-06,2026-08-08
T0038,MU,SELL,10,260.72,2026-08-03,2026-08-05
T0039,META,BUY,100,520.83,2026-08-07,2026-08-09
T0040,AMZN,BUY,10,650.16,2026-08-03,2026-08-05
T0036,SPY,SELL,25,839.58,2026-08-04,2026-08-06
C0100,SPY,BUY,50,316.56,2026-08-03,2026-08-09
C0101,IONQ,BUY,10,866.66,2026-08-03,2026-08-06
