trade_id,break_type,severity,dollar_impact,detail
T0029,MISSING_IN_CUSTODIAN,HIGH,82573.0,MU BUY 100.0@825.73 on 2026-08-05 not found at custodian
T0026,MISSING_IN_CUSTODIAN,HIGH,78166.0,MU SELL 100.0@781.66 on 2026-08-03 not found at custodian
T0011,DATE_MISMATCH,HIGH,59196.0,broker trade_date 2026-08-03 vs custodian trade_date 2026-08-04
T0036,DUPLICATE,HIGH,20989.5,2 custodian rows vs 1 broker row(s) for T0036
C0100,MISSING_IN_BROKER,HIGH,15828.0,SPY BUY 50.0@316.56 on 2026-08-03 not found at broker
C0101,MISSING_IN_BROKER,HIGH,8666.6,IONQ BUY 10.0@866.66 on 2026-08-03 not found at broker
T0016,QUANTITY_MISMATCH,HIGH,7030.7,broker qty 200.0 vs custodian qty 190.0
T0023,MISSING_IN_CUSTODIAN,HIGH,6924.1,MU SELL 10.0@692.41 on 2026-08-03 not found at custodian
T0005,QUANTITY_MISMATCH,HIGH,5508.8,broker qty 75.0 vs custodian qty 65.0
T0024,QUANTITY_MISMATCH,HIGH,3142.05,broker qty 200.0 vs custodian qty 205.0
T0017,PRICE_MISMATCH,MEDIUM,300.0,broker price 318.14 vs custodian price 316.64
T0010,DATE_MISMATCH,LOW,21345.0,broker trade_date 2026-08-03 vs custodian trade_date 2026-08-04
T0013,DATE_MISMATCH,LOW,11404.0,broker trade_date 2026-08-05 vs custodian trade_date 2026-08-06
T0040,PRICE_MISMATCH,LOW,15.0,broker price 651.66 vs custodian price 650.16
